X,45Hz,50Hz,55Hz,60Hz,Min,BEP,Max,46Hz,47Hz,48Hz,49Hz,51Hz,52Hz,53Hz,54Hz,56Hz,57Hz,58Hz,59Hz
0.0,1157.0057581573897,1442.0345489443378,1748.176583493282,2085.9884836852207,-4.2226487523994365,-4.2226487523994365,-4.2226487523994365,1214.0115163147793,1271.017274472169,1328.0230326295587,1385.028790786948,1503.2629558541266,1564.4913627639155,1625.7197696737041,1686.9481765834933,1815.73896353167,1883.3013435700573,1950.8637236084453,2018.4261036468329
2528.477611940298,1148.5604606525912,1429.36660268714,1733.3973128598848,2056.429942418426,228.02303262955843,42.22648752399209,21.113243761996273,1204.7216890595012,1260.8829174664106,1317.0441458733203,1373.2053742802302,1490.172744721689,1550.978886756238,1611.7850287907868,1672.5911708253357,1798.003838771593,1862.6103646833012,1927.2168905950095,1991.8234165067179
5041.15223880597,1140.1151631477928,1404.0307101727449,1710.172744721689,2031.0940499040307,601.7274472168906,137.23608445297486,73.8963531669865,1192.8982725527833,1245.6813819577737,1298.464491362764,1351.2476007677544,1465.2591170825337,1526.4875239923226,1587.7159309021113,1648.9443378119001,1774.3570057581574,1838.5412667946257,1902.725527831094,1966.9097888675624
7522.220895522389,1119.0019193857966,1399.8080614203454,1689.0595009596927,2014.203454894434,1173.8963531669865,289.2514395393473,160.46065259117086,1175.1631477927065,1231.324376199616,1287.485604606526,1343.6468330134355,1457.6583493282149,1515.5086372360843,1573.358925143954,1631.209213051823,1754.088291746641,1819.1170825335894,1884.1458733205375,1949.1746641074858
9987.48656716418,1097.8886756238005,1368.1381957773513,1665.8349328214972,1995.201535508637,2149.328214971209,494.0499040307102,268.13819577735126,1151.9385796545107,1205.9884836852207,1260.038387715931,1314.088291746641,1427.6775431861806,1487.2168905950098,1546.756238003839,1606.295585412668,1731.7082533589253,1797.5815738963531,1863.4548944337812,1929.328214971209
12531.767164179104,1040.8829174664108,1321.6890595009595,1638.3877159309022,1965.6429942418424,,772.7447216890594,399.0403071017274,1097.0441458733208,1153.2053742802304,1209.3666026871401,1265.5278310940498,1385.028790786948,1448.3685220729367,1511.708253358925,1575.0479846449136,1703.8387715930903,1769.2898272552784,1834.7408829174665,1900.1919385796543
15028.638805970148,958.5412667946256,1254.126679462572,1564.4913627639155,1914.971209213052,,1127.447216890595,551.0556621880996,1017.658349328215,1076.7754318618042,1135.8925143953934,1195.0095969289828,1316.1996161228408,1378.2725527831094,1440.345489443378,1502.4184261036467,1634.5873320537428,1704.68330134357,1774.7792706333971,1844.8752399232246
17525.510447761193,833.9731285988482,1148.5604606525912,1477.9270633397314,1832.6295585412668,,1532.821497120921,726.2955854126678,896.890595009597,959.8080614203454,1022.725527831094,1085.6429942418426,1214.4337811900193,1280.3071017274474,1346.1804222648752,1412.0537428023033,1548.8675623800386,1619.8080614203454,1690.7485604606527,1761.6890595009597
20006.579104477612,667.1785028790787,996.5451055662188,1344.9136276391555,1729.1746641074856,,2003.646833013436,933.2053742802304,733.0518234165067,798.9251439539348,864.7984644913627,930.6717850287907,1066.2188099808063,1135.8925143953934,1205.566218809981,1275.2399232245682,1421.7658349328217,1498.6180422264874,1575.4702495201536,1652.3224568138196
22519.253731343284,477.15930902111336,800.1919385796546,1157.0057581573897,1547.6007677543184,,,1190.786948176583,541.7658349328217,606.3723608445298,670.9788867562381,735.5854126679463,871.5547024952016,942.9174664107486,1014.2802303262956,1085.6429942418426,1235.1247600767756,1313.243761996161,1391.362763915547,1469.4817658349327
24984.51940298507,323.0326295585412,593.2821497120922,939.5393474088291,1338.5796545105568,,,1454.7024952015354,377.0825335892514,431.1324376199616,485.1823416506718,539.232245681382,662.5335892514396,731.785028790787,801.0364683301343,870.2879078694817,1019.3474088291747,1099.1554702495202,1178.9635316698657,1258.7715930902114
26406.788059701492,266.02687140115177,485.6046065259118,808.637236084453,1205.566218809981,,,1629.9424184261038,309.9424184261038,353.85796545105575,397.7735124760078,441.6890595009598,550.2111324376201,614.8176583493282,679.4241842610365,744.0307101727448,888.0230326295585,967.4088291746641,1046.7946257197696,1126.1804222648752
